question,label
is there going to be a season 5 of brooklyn nine nine?,1
was the us in the last world cup?,1
was princess diana born into the royal family?,1
How long does it take for your blood to make one complete trip through the body ?,0
do cristina and burke get back together after the wedding?,1
What was the species of Winnie the Pooh ?,0
is william and mary college an ivy league school?,1
What kind of weapons were used in Medieval warfare ?,0
is the uk the only country with a monarchy?,1
What actress 's autobiography is titled Shelley : Also Known as Shirley ?,0
is into the woods a musical all the way through?,1
How many muscles does the average adult use when going for a walk ?,0
"What was the claim to fame of Explorer I , launched February 1 , 1958 ?",0
Why is the development of space so important ?,0
What U.S. state has the most blondes ?,0
Who was The Pride of the Yankees ?,0
is st peter's college a private school?,1
have any rugby players played in the nfl?,1
How much money was the minimum wage in 1991 ?,0
What interesting method was used to run the credits in the early Popeye cartoons ?,0
How big is the Chappellet vineyard ?,0
Who created Big Ben ?,0
What golfer has been called Ohio Fats and Blobbo ?,0
are sensory experiences that occur in the absence of real stimuli?,1
What is the probability that at least 2 out of 25 people will have the same birthday ?,0
is president george bush turnpike a toll road?,1
What is glass made of ?,0
What Soviet leader owned a Rolls-Royce ?,0
are you required by law to register for selective service?,1
What is the full classification of a lady bug ?,0
is there going to be a season 3 of daredevil?,1
is you tube red the same as you tube premium?,1
Who was Darth Vader 's son ?,0
What is the best college in the country ?,0
"In AD 999 , what sort of celebrations , fears , were there ?",0
is tartaric acid the same as citric acid?,1
has anyone broken the sound barrier on land?,1
Who painted Mother and Child ?,0
What after-dinner treat was invented in 1916 at the George Jung noodle factory in Los Angeles ?,0
sabrina the teenage witch does harvey come back?,1
What was the sequel to The Pink Panther ?,0
can one point be in two different planes?,1
Who are the nomadic hunting and gathering tribe of the Kalahari Desert in Africa ?,0
have america ever been in the world cup?,1
is himalaya the highest mountain in the world?,1
are scottish hydro and sse the same company?,1
does the colorado river run through the grand canyon?,1
is the caribbean considered part of north america?,1
Who did Doris Day mean when she said : `` I call him Ernie because he 's certainly no Rock '' ?,0
is there an international airport in naples italy?,1
"What feud ended with a marriage in Kentucky on March 21 , 1891 ?",0
How can you tell when figs are ripe ?,0
What is the Home Rule Act ?,0
are the falcon and the snowman still in prison?,1
Why were people recruited for the Vietnam War ?,0
is it legal to pass on the shoulder of the road?,1
How many three-letter permutations can be made from the four letters : c ?,0
is there an airport in hua hin thailand?,1
can i use cast iron skillet on induction cooktop?,1
"How can people from Ireland come to the U.S. , work , and then return to Ireland ?",0
is there a season 7 of vanderpump rules?,1
What vehicles are raced in the Tour de France ?,0
What is a cullion ?,0
"What 's the maximum length , in inches , of a first baseman 's glove ?",0
What does NASDAQ stand for ?,0
Who won Oscars for her roles in Gone with the Wind and A Streetcar Named Desire ?,0
is cabo and cabo san lucas the same?,1
is there such thing as a poisonous butterfly?,1
does north korea have an ambassador to the united nations?,1
What do insects do through their spiracles ?,0
is irish music and celtic music the same?,1
What war did Johnny Reb and Billy Yank fight ?,0
In what year did Hitler gain power of Germany ?,0
is 20th century fox the same as fox news?,1
was dwight the father of angela's baby?,1
are there any world war 1 survivors left?,1
will there be another season of parasyte the maxim?,1
What does a woman want ?,0
can an ipad mini 2 get ios 10?,1
is there another season of ouran highschool host club?,1
What should the oven be set at for baking Peachy Oat Muffins ?,0
Who wrote ` Hamlet ' ?,0
Who was the lawyer who represented Randy Steven Craft ?,0
is it legal to count cards in vegas?,1
does each state have a house and senate?,1
What arch can you see from the Place de la Concorde ?,0
What country does Ileana Cotrubas come from ?,0
What was called the world 's largest department store ?,0
What year did nylon stockings first go on sale ?,0
was war and peace originally called war what is it good for?,1
What is the geographical center of the US including Alaska and Hawaii ?,0
is there going to be another season of greys anotomy?,1
What Italian leader had a lifelong fear of the evil eye ?,0
does debra morgan fall in love with dexter?,1
is the static speaks my name a horror game?,1
was the bill of rights included in the original constitution?,1
Which killer whale died at Sea World of a fungal infection ?,0
Shea and Gould closed their Los Angeles office for what reason ?,0
are the navy seals part of the navy?,1
is the lead singer of blur in the gorillaz?,1
does a white blood cell have a nucleus?,1
What city is the Kentucky Horse Park near ?,0
is a speeding ticket a crime in california?,1
can the speaker of the house of commons vote?,1
is season 13 the last season of face off?,1
are the mortal instruments and infernal devices connected?,1
What comedian was banned from the Ed Sullivan Show for allegedly making an obscene gesture at the show 's host ?,0
did lava flow from mt. st. helens?,1
When was John D. Rockefeller born ?,0
"What TV show premiered on January 15 , 1981 ?",0
have the buffalo bills ever won a super bowl?,1
does total internal reflection occur at the critical angle?,1
is non current assets the same as fixed assets?,1
What is the dot on an the letter i called ?,0
Who was the first American world chess champion ?,0
What is a dental root canal ?,0
How many years ago did the ship Titanic sink ?,0
can i get a public defender for a civil case?,1
is the mist tv show based on the movie?,1
"When it 's time to relax , what one beer stands clear ?",0
Who followed Caesar ?,0
are the normal force and force of gravity always equal?,1
Why should cigarette smoking be banned ?,0
What 's the No. 1 killer in industrialized countries ?,0
Musician Ray Charles plays what instrument ?,0
When did Mount St. Helen last have a major eruption ?,0
does a jury all have to agree on a verdict?,1
Who was the first woman governor of Wyoming ?,0
have the arkansas razorbacks ever won a national championship in football?,1
is there compulsory military service in the us?,1
What year was Janet Jackson 's first album released ?,0
is double link list a linear data structure?,1
do non alcoholic drinks have alcohol in them?,1
What are some of the significant historical events of the 1990s ?,0
is a doctor of pharmacy a doctorate degree?,1
Where does the tennis star Stefan Edberg come from ?,0
What Indian tribe is F Troop perpetually doing battle with ?,0
do you have to bounce the ball in afl?,1
What holidays or observances are celebrated in Italy ?,0
What was the Bridge of San Luis Rey made of ?,0
can you have two surnames in the uk?,1
What 's the term for a limestone deposit rising from the floor of a cave ?,0
has anyone been to the bottom of challenger deep?,1
is there a difference between barbuda and barbados?,1
are michael and lincoln brothers in real life?,1
What does an ashen-faced eidologist search out the existence of ?,0
are the fallopian tubes connected to the uterus?,1
What country in Latin America is the largest one ?,0
What were the last names of gangsters Bonnie and Clyde ?,0
will mail be delivered on monday memorial day?,1
Who killed Lee Harvey Oswald ?,0
is there a death penalty for high treason in the uk?,1
do blue jays take over other birds nests?,1
What is a fear of gravity ?,0
What does a farrier put shoes on ?,0
"What explosive do you get by mixing charcoal , sulfur and saltpeter ?",0
What U.S. city was named for St. Francis of Assisi ?,0
Who is Ishmael in Moby Dick ?,0
What hymn did John Steinbeck get his title The Grapes of Wrath from ?,0
is canada in the 2018 soccer world cup?,1
will there be season 6 of breaking bad?,1
What South American capital is the world 's highest ?,0
is yorkshire the largest county in the uk?,1
What country has been called The Queen of the Antilles ?,0
is the jaws ride still at universal studios orlando?,1
are rubbing alcohol and isopropyl the same thing?,1
can you blink one eye at a time?,1
What year did the United States pass the Copyright law ?,0
is the gulf of mexico part of an ocean?,1
What is pasta ?,0
is puerto rico considered one of the 50 states?,1
"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",0
What are people doing to help prevent the extinction of birds ?,0
are there any english words with no vowels?,1
Why do roosters sing at five o 'clock in the morning ?,0
Who won the first World Series ?,0
When was Hurricane Hugo ?,0
can a visitor have a baby in the us?,1
did the movie giant win an academy award?,1
Where was Lincoln assassinated ?,0
When was the women 's suffrage amendment ratified ?,0
What South American city has the world 's highest commercial landing field ?,0
What is Candlemas Day ?,0
does a honey bee die after it stings you?,1
does chuck bass really die in season 3?,1
Whom did Friz Freleng add to the Warner Bros. cartoon ranks ?,0
Where can I get information and statistics on countries and nations ?,0
What comedian has a legendary reputation for stealing jokes ?,0
Who commanded the French forces at the Battle of Orleans ?,0
Which side should a bowler facing a 37803 split hit the 3-pin on-the left or the right ?,0
How many sperm cells are in an average ejaculation ?,0
What was Darth Vader 's son named ?,0
Which two products use a tiger as their symbol ?,0
is there goal line technology in the championship?,1
is the movie national treasure based on a book?,1
What was the food of the Greek gods called ?,0
are there any original members of lynyrd skynyrd still in the band?,1
is elton john's song daniel about his brother?,1
can you shoot at a shooting range without a license?,1
What country do the Galapagos Islands belong to ?,0
How many small businesses are there in the U.S .,0
is pizza hut and kfc the same company?,1
What film was Jude Law in ?,0
do they still make the big bang theory?,1
Why do rooftops give off steam after a big rainstorm ?,0
has anyone ever hit a homerun in the congressional baseball game?,1
How many dots make up the symbol for `` because '' ?,0
What determines the value of the pearl ?,0
has a woman ever won the boston marathon?,1
What baseball player was walked the most times ?,0
Where can stocks be traded on-line ?,0
What well-known TV talk show host was a lay preacher by the time he was seventeen ?,0
What animals did The Amazing Three masquerade as ?,0
What number is at 12 o 'clock on a dartboard ?,0
is paraffin oil and mineral oil the same thing?,1
How much energy is released when oxygen and hydrogen mix ?,0
is harry potter and the philosopher's stone the first book?,1
What is `` the airline built for professional travelers '' ?,0
is the half blood prince in 2 parts?,1
The corpus callosum is in what part of the body ?,0
What planet did Percival Lovell discover ?,0
What is the name of the disease that actress Hunter Tylo 's baby girl has ?,0
is love and other drugs a true story?,1
is the movie se7en based on a book?,1
Which Bourbon king was restored to the French throne during Napoleon 's abdication ?,0
is one eye always stronger than the other?,1
is peter in season 2 of hemlock grove?,1
How do companies cut paper so thin ?,0
is eid ul fitr a national holiday in india?,1
did grace on will and grace have a baby?,1
the ratio of the model cars dimensions to the actual cars dimensions is 1 56?,1
How is silk screening done ?,0
did dan stevens do the singing in beauty and the beast?,1
What is a Devo hat ?,0
does jon snow die at end of season 5?,1
What color is Chablis ?,0
can you use oyster card at walton on thames?,1
What company was the original sponsor of TV 's Superman ?,0
will there be a new friday the 13th?,1
Where can I find an Ask An Expert site ?,0
Which team won the Super Bowl in 1968 ?,0
is there gonna be a lego movie 2?,1
What is the average life expectancy of a male in Ireland in 1996 ?,0
"How many miles is it from London , England to Plymouth , England ?",0
is lavender a member of the mint family?,1
was the movie remember the titans a true story?,1
is old fashion oats the same as rolled oats?,1
is queso blanco the same as queso fresco?,1
What 1965 film had Jack Lemmon portraying a cartoonist ?,0
does disney world change the haunted mansion for christmas?,1
can you have fog and rain at the same time?,1
What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?,0
did over the garden wall win an emmy?,1
were the two oil crisis in the 1970s?,1
Who is Charles Lindbergh ?,0
Who said : `` The victor will never be asked if he told the truth '' ?,0
Who directed The Wild Bunch ?,0
Which of the following rock 'n roll stars has a `` star '' on Hollywood Boulevard ?,0
can there be an economy without economic problem?,1
can a flower have more than one pistil?,1
is there a queen in an ant colony?,1
is foundation piecing the same as paper piecing?,1
What island group is Guadalcanal a part of ?,0
What general direction does the journey in Around the World in 80 Days proceed in ?,0
"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",0
could bacteria that do not contain cell walls be stained using gram stain?,1
is see by chloe the same as chloe?,1
Who was known as the Time Master in comic books ?,0
do don and betty draper get back together?,1
What does a polyorchid man have at least three of ?,0
Rotary engines used to be made by whom ?,0
What does Esa-Pekka Salonen look like ?,0
is the united states coast guard part of the military?,1
What is the chemical reactivity of neon ?,0
Who sings Angel Eyes from the 80 's ?,0
are england scotland wales and northern ireland separate countries?,1
Which large U.S. city had the highest murder rate for 1988 ?,0
does a female bald eagle have a white head?,1
When was the first successful heart transplant for a human ?,0
is tim brown in the hall of fame?,1
Where can I get information on the original 13 US colonies ?,0
is there heat transfer in an isothermal process?,1
Who is the prophet that is most connected to the Dead Sea ?,0
is atlantic time the same as eastern time?,1
What does the donation process entail ?,0
will there be a 7th season of parenthood?,1
What soft drink held a national flavor poll in 1967 ?,0
How many `` eyes '' does a coconut have ?,0
can you be killed by a box jellyfish?,1
Where is the oldest living thing on earth ?,0
Who wrote : `` Poems are made by fools like me but only God can make a tree '' ?,0
Who is always trying to get the rent from Andy Capp ?,0
is 5 fold the same as 5 times?,1
does the us have a free trade agreement with colombia?,1
does microsoft office professional plus 2016 include project?,1
What color bottles do good Rhine wines come in ?,0
is budd bill's brother in kill bill?,1
What is the difference between a college and a university ?,0
is t-mobile owned by another company?,1
do pitchers have to hit in the national league?,1
What is the history of Valentine 's Day cards ?,0
What country is Kosovo a part of ?,0
does xbox one game work on xbox 360?,1
does peyton have a miscarriage on one tree hill?,1
can an analog signal be converted to digital?,1
does active transport move molecules along a concentration gradient?,1
What did Warlock wear on his forehead in Marvel comics ?,0
does lex luthor know who superman is in smallville?,1
is there such thing as a hairless dog?,1
does the trump hotel in vegas have a casino?,1
Where was the first restaurant ?,0
What does a philatelist collect ?,0
What are shooting stars ?,0
is clarified butter the same as drawn butter?,1
What is the Immaculate Conception ?,0
is the us $2 bill in circulation?,1
is there such a thing as a bladder transplant?,1
the speed limit on some interstate highways is roughly 135 km/h?,1
is allosteric inhibition the same as noncompetitive inhibition?,1
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,0
the american revolution british parliament passed stamp act?,1
What did Jack exchange with the butcher for a handful of beans ?,0
What was the previous name for the Commonwealth ?,0
What is the definition of the Scrabble word ` syzygy ' ?,0
What chocolate company gives you a one-pound kiss ?,0
is a passport required for us citizens to enter canada?,1
was the developing and dredging of dubai creek started in 1920s?,1
What time of year do most people fly ?,0
is napa cabbage the same as chinese cabbage?,1
What animal dined on bread and oysters with a carpenter ?,0
does dean come back to life in supernatural?,1
can you get offside from a throw in?,1
How many U.S. presidents were assassinated during Queen Victoria 's reign ?,0
What is AFS ?,0
What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,0
What is a fear of sleep ?,0
did bradley cooper sing in a star is botn?,1
What are Fortune 500 companies ?,0
What is the difference between the Koran and The Bible ?,0
What disease did August von Wassermann develop a specific test for in 196 ?,0
the chicago picasso was controversial because of its great cost to the city?,1
can liquid latex be used as an adhesive?,1
Name a country that is developing a magnetic levitation railway system ?,0
are bats the only mammal that can fly?,1
How can I find out which cities have cable-modem access ?,0
"Which hair care product told us `` hate that gray , wash it away '' ?",0
is the transit number the same as a routing number?,1
does a tornado watch mean there is a tornado?,1
What will the increase be in the California gas tax by 2000 ?,0
When was the Big Thompson flood ?,0
is there new episodes of pretty little liars?,1
Who earns their money the hard way ?,0
What was the name of Aristotle Onassis 's yacht ?,0
has the us post office ever been in debt?,1
Who invented `` The Muppets '' ?,0
was the incredible hulk part of the mcu?,1
can you pot 2 red balls in snooker?,1
does the king of cambodia have any power?,1
Who were the Yankee 's frequent enemies ?,0
can you build up a resistance to cyanide?,1
When was the Congress of Vienna ?,0
What was lost and regained by poet John Milton ?,0
did the dad die in the good dinosaur?,1
Which German president was pressured into appointing Hitler chancellor in 1933 ?,0
How can I enforce new rules to a group of youngsters who have been allowed to do as they please .,0
is wells fargo associated with bank of america?,1
What is the chemical formula for napalm ?,0
What 's another name for aspartame ?,0
How many pairs of legs does a lobster have ?,0
a solid is a state of matter that has a shape and volume?,1
can you move your knight first in chess?,1
What kind of poisoning is known as plumbism ?,0
is the show patrick melrose based on a true story?,1
What is Cabarnet Sauvignon ?,0
does ireland drive on the left side of the road?,1
does the waboba moon ball bounce on water?,1
can i use my passport card as proof of citizenship?,1
do the miami dolphins still have a dolphin?,1
How many bytes are in a terabyte ?,0
is tyrion still alive on game of thrones?,1
is a swift code the same as a bsb number?,1
is there going to be a season 5 of nicky ricky dicky and dawn?,1
What actor learned to play the saxophone and speak Russian for a role in a movie ?,0
Who makes the `` Die Hard '' car battery ?,0
did abba make the songs for mamma mia?,1
do any states not have seat belt laws?,1
is demon's souls part of dark souls?,1
What is the origin of U.S. Army sergeant 's stripes ?,0
What is the filmmakers collabrative ?,0
Who is the youngest of the Beatles ?,0
can you buy alcohol at the age of 18?,1
can you substitute an injured player in soccer?,1
What do ladybugs eat ?,0
can you drink in your car in texas?,1
What are tonsils for ?,0
is devil may cry 5 after devil may cry 2?,1
do squid have suction cups on their tentacles?,1
dialup is the slowest type of the internet connection?,1
does creme de menthe have alcohol in it?,1
can a copyright be renewed once it expires?,1
did the mets ever win a world series?,1
does adding salt to water increase its boiling point?,1
are all the songs in the greatest showman original?,1
are there real estate taxes in puerto rico?,1
are any of the bee gees still living?,1
was the movie double jeopardy based on a true story?,1
can you go on vacation to north korea?,1
is pound cake the same as madeira cake?,1
Name the French historical period during the reign of Napoleon III .,0
Who else was considered for the role of Luke Skywalker when George Lucas was casting for Star Wars ?,0
"What according to the Kinsey Institute , is the sexual preference of four percent of American males ?",0
What are Maid-Rites ?,0
is the natural bridge in aruba still there?,1
is lemon tonic the same as bitter lemon?,1
What was the first minimum wage ?,0
Name four famous cartoon cats .,0
new york city and manhattan the same thing?,1
What is a fear of fish ?,0
What 's the most common non-contagious disease in the world ?,0
"What river flows through Vienna , Budapest and Belgrade ?",0
can the product of two prime numbers be a prime number?,1
What is false consciousness ?,0
is there going to be a season 5 of bates motel?,1
What is a fear of being dirty ?,0
Who was the first woman to run the mile in less than 4 36893 minutes ?,0
What does INRI stand for when used on Jesus ' cross ?,0
does a narrative have to be first person?,1
can i carry a gun in my car south carolina?,1
does marvel own the rights to fantastic four?,1
is it legal to busk in the us?,1
will there be a season 8 for shameless?,1
can you access the ocean from the great lakes?,1
What is the size of the student body at the University of Massachusetts in Amherst ?,0
How do you make the color purple ?,0
What is an example of a natural acid-base indicator ?,0
is trinidad and tobago part of the caribbean?,1
What lake is Sheboygan on ?,0
will there be another season of the paradise?,1
What film did Louise Fletcher win the best actress Oscar for ?,0
is it legal to give your child alcohol in texas?,1
What does the name ` Alexandra ' mean ?,0
is donald driver in the hall of fame?,1
can you have a delayed reaction to grief?,1
What Nazi leader killed himself in jail just before he was to be executed as a war criminal ?,0
How many people live in Chile ?,0
is it safe to swim in stagnant water?,1
What 's new in the postal world in 1999 ?,0
How long ago was the Roe vs. Wade decision by the Supreme Court ?,0
How many points is a bullseye worth in darts ?,0
Who was the Charlie perfume woman ?,0
Why do they sterilize the needle for lethal injection ?,0
What hockey player did Ronald Reagan joke he would swap Texas for ?,0
How do you select wine ?,0
is canada in the united states of america?,1
What is the `` coppertop '' battery ?,0
What do economists do ?,0
"Who delivered his last newscast on March 6 , 1981 ?",0
How do I find out about jobs ?,0
When was Calypso music invented ?,0
What country has the port of Haifa ?,0
Shea and Gould had an office in Los Angeles for how long before closing it ?,0
is the movie the way back a true story?,1
What building are British monarchs crowned in ?,0
"What country surrounds San Marino , the world 's smallest Republic ?",0
What Catch-22 character is elected mayor of half a dozen Italian cities ?,0
What is the purpose of a car bra ?,0
is it the same year in every country?,1
What kind of mammal is a colt ?,0
does the president have the power to remove a congressional member?,1
What are the names of Jacques Cousteau 's two sons ?,0
does the nissan rogue have all wheel drive?,1
How is an executioner determined ?,0
can you go back to trial after a mistrial?,1
How does rabies spread ?,0
is west edmonton mall the biggest mall in the world?,1
do all angles in a triangle add up to 180 degrees?,1
What ship did Lloyd M. Bucher command ?,0
What does Choo Choo Charlie say ?,0
has the world cup ever been stolen before?,1
Who is the leader of India ?,0
What city is graced by the Arch of Titus ?,0
What line of candy products included Super Skrunch and Peanut Butter Oompas ?,0
What is the speed of the Mississippi River ?,0
Why can 't you taste anything when you have a cold ?,0
What are some of Australia 's native flora ?,0
is the conversion of pyruvate to acetyl coa reversible?,1
What did John F. Kennedy consider his greatest blunder in office ?,0
"What do the names Neil , Mary , and Anthony mean ?",0
"What is the latitude and longitude of El Paso , Texas ?",0
Who claims to have the greatest show on earth ?,0
did gerry rafferty sing stuck in the middle with you?,1
when does ned stark die in the show?,1
What does the word terrorism mean ?,0
When is the Jimmy Buffett concert coming to the E center in Camden NJ ?,0
What is hypertext ?,0
What does a heliologist study ?,0
When is a woman most fertile ?,0
What country will hit the year 2 first ?,0
What was the name of the Protestant revolt against the supremacy of the Pope ?,0
are orca whales and killer whales the same thing?,1
"What were Baffin , Frobisher and Franklin looking for ?",0
What is celebrated during the week of February 21-27 ?,0
is there a nuclear power plant in arizona?,1
are lysosomes present in both plant and animal cells?,1
is the esophagus part of the digestive tract?,1
is roo from winnie the pooh a boy?,1
What four elements make up 90 percent of the human body ?,0
is the fish tank still in marlins stadium?,1
What is a hyperlink ?,0
do little grey and mark get back together?,1
Aspartame is known by what other name ?,0
What is the best hospital for orthopedics in the country ?,0
does prince andrei die in war and peace?,1
did season 4 of jane the virgin end?,1
When was Beethoven born ?,0
does bree van de kamp go to jail?,1
did manny from ice age have a family?,1
is credit hours the same as semester hours?,1
How many of them are in sub-Saharan Africa ?,0
How many elephants are left on earth ?,0
"What populous state covers 49 , 576 square miles ?",0
What are the only players eligible to score points in Roller Derby called ?,0
can you see mount whitney from death valley?,1
What blood sport features a movement called a veronica ?,0
do any sharks live in the arctic ocean?,1
is it possible to drive from panama to colombia?,1
What was the name of the orca that died of a fungal infection ?,0
is it mandatory to have insurance on a motorcycle in india?,1
What are the Twin Cities ?,0
does cutting the top of a tree kill it?,1
Who portrayed The Cowardly Lion in The Wizard of Oz ?,0
did original wagon wheels have jam in them?,1
In the past 8 years who have the MVP players for the NHL been ?,0
is rick deckard an android in the book?,1
What money was used here ?,0
can you have twins and have two different fathers?,1
is a driving licence a national identity card?,1
is the book i am pilgrim a true story?,1
are there any limits to the first amendment?,1
Why are so many umbrellas black ?,0
Where are the Haversian canals ?,0
What Italian liner was hijacked in 1985 ?,0
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,0
are all house of representatives up for election at the same time?,1
Where is Webster University ?,0
is the movie spirit based on a true story?,1
What song did Patti Page set people dancing to in 1950 ?,0
What is RAM in the computer ?,0
are there tolls on the taconic state parkway?,1
is chewbacca the same actor in the new star wars?,1
What is a bone marrow transplant meant for ?,0
is the blue ridge mountains part of the appalachians?,1
What is multimedia ?,0
What year is etched on the Gold Medal of Excellence from the Paris Exposition depicted on a can of Campbell 's tomato soup ?,0
How do I start a bank ?,0
are home mortgage loans traded in the money market?,1
"What kind of creatures are black , yellow , and brown bullheads ?",0
What is kept in Fort Knox that is so valuable ?,0
is mother day the first sunday of may?,1
What does CNN stand for ?,0
is the vampire diaries linked to the originals?,1
was there a draft for the american civil war?,1
What U.S. state has an element named for it ?,0
What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?,0
Who accompanied Space Ghost on his missions ?,0
is carrie underwood in the movie soul surfer?,1
did jughead and betty date in the comics?,1
How many years of schooling after highschool does it take to become a neurosurgeon ?,0
Name Li 'l Abner 's favorite Indian drink .,0
is sierra mist and mist twist the same?,1
a valediction forbidding mourning is the speaker about to die?,1
The Kentucky Horse Park is close to which American city ?,0
is sunrise when the sun starts to rise?,1
are ant man and giant man the same?,1
can you use guernsey money in the uk?,1
What is goldenseal ?,0
will there be a netflix scream season 3?,1
is bilbo baggins the same actor in the hobbit?,1
does scotch have to be made in scotland?,1
is pokemon fire red the same as leaf green?,1
has usa ever won the fifa world cup?,1
"What was the name given the 6 , 500 German airforce troops that used the Spanish Civil War as a training exercise ?",0
is pork roll the same as taylor ham?,1
does tibby die in the sisterhood of the traveling pants?,1
Which Beatles disc cover honors the Rolling Stones ?,0
do you need a colombian passport to leave colombia?,1
did manchester united win any trophies this season?,1
What river flows past the Temple of Karnak ?,0
What famous model was married to Billy Joel ?,0
What do the figures represent on the Easter Island ?,0
is east avenue medical center a government hospital?,1
is it possible to supercharge and turbocharge a car?,1
is money from jersey legal tender in uk?,1
can you drive from the united states to canada?,1
What is the oldest building in the United States ?,0
What are pomegranates ?,0
is target australia the same as target usa?,1
What do you do when your mouse is n't working as fast as it 's supposed to ?,0
How does a parachute work ?,0
Who was the first animal into space ?,0
can you kill head lice with a hair dryer?,1
is it legal to fight in ice hockey?,1
is there any such thing as a mini pig?,1
has usa ever won winter olympic medal count?,1
"What World War I battle saw 6 , 0 troops killed in one day ?",0
behind enemy lines was it based on a true story?,1
is faze rug part of the faze clan?,1
What are differences between 1980 and 1990 ?,0
What is the name of the Michelangelo painting that shows two hands with fingers touching ?,0
Where is Dartmouth College ?,0
How many members are in the California congressional delegation ?,0
can you go into shock from emotional trauma?,1
What does HIV stand for ?,0
is a paralegal the same as an attorney?,1
When did the Carolingian period begin ?,0
How does a hydroelectric dam work ?,0
is it the final season of once upon a time?,1
What type of hunting are retrievers used for ?,0
Who was Darius ?,0
is a drive shaft the same as a cv joint?,1
is their going to be an avengers infinity war 2?,1
is a baccalaureate degree the same as a bachelor's?,1
is it legal to marry your first cousin in england?,1
What Georgia town did Scarlett O 'Hara condemn as being full of pushy people ?,0
is there a sequel to the city of ember?,1
Where is your corpus callosum ?,0
is st david's day a bank holiday in wales?,1
can you have dual indian and british citizenship?,1
do chad and romania have the same flag?,1
What is a portal ?,0
is the greatest showman based in a true story?,1
is pork roll the same as canadian bacon?,1
in private practice does addison have a baby?,1
did the movie dolores claiborne win any awards?,1
What corporation does Madonna advertise for ?,0
is an associates degree the same as a bachelor's degree?,1
What was William F. Cody 's better-known name ?,0
How long did the Paris Commune hold out for against the rest of France ?,0
What is the largest variety of cactus ?,0
can a person function with half a brain?,1
What television network flogged its sports programming on Inga Nielsen 's body in 197 ?,0
