question,label
can the federal government make criminal laws on any matter?,1
In what year do Democrats contend that the Speaker position began?,0
When was the Thames River Police made a private service?,0
How did Peel standardize police?,0
is the movie tears of the sun a true story?,1
who did james bond work for?,0
What did European regulators introduce to increase the oversight of banks?,0
are there any professional sports teams in nevada?,1
The chemical element with the atomic number 8 is?,0
is season 2 the last season of this is us?,1
can i have a beard in the marines?,1
Who is known for the thought that humanity is the most important thing in the world?,0
"The author of ""War and Peace"" is?",0
does burke come back in grey's anatomy?,1
What will the project named CASA 1000 do?,0
has a premier league team ever gone undefeated?,1
Between what years did Portugal establish a colonial and commercial empire?,0
What was John Eisenhower's final rank in the military?,0
is attack on titan manga the same as the anime?,1
"The author of the play ""Hamlet"" is?",0
the electronic media in the united states are primarily owned and operated by the federal government?,1
is becky g in the power rangers movie?,1
Why do humans most commonly hunt wildlife?,0
do you have to pay for a warning ticket?,1
who designed the georgian colonial house styles?,0
Who was W.O. Wilson a student of?,0
was parks and rec supposed to be a spin off of the office?,1
Who were Jehovah's Witnesses accused of intentionally provoking in the 1930s and 1940s?,0
did they really use birds to send messages?,1
can you get a life sentence for drugs?,1
During which time period did the prosecuratorial efforts of Rwanda focus on genocidal acts?,0
where are cover girl cosmetics sold?,0
What has been the primary focus in the study of genocide?,0
What period has a more complete geological record than the Proterozoic?,0
are they alive at the end of blue lagoon?,1
What does a lack of oxygen supply cause?,0
Who do the Provincial Secretaries report to?,0
Who did Eisenhower nominate for Chief Justice?,0
What is 'Scullers' Row'?,0
was the wizard of oz a book before the film?,1
In what year did the College of Arts and Letters at Notre Dame grant its first degree?,0
Where are most of the states mountain ranges?,0
is there any more friday the 13th in 2018?,1
who deregulated the banks?,0
What are three international organizations that Portugal belongs to?,0
can planes go faster than the speed of sound?,1
What crime was common in the Bronx in the 1970s?,0
The national bird of China is?,0
true or false the oregon country was claimed by three different countries in the early 1800s?,1
is the big bang theory still on tv?,1
does chuck die in gossip girl season 6?,1
What wasn't Canada's first police force?,0
is jake and the neverland pirates still on tv?,1
What do hermit crabs eat?,0
do you have to be born in france to be president?,1
How much land has the Duck Stamp Act help purchase?,0
What crime notably increased in Richmond over the course of the 1980s?,0
is it possible to have more than 2 nipples?,1
Very few Muslims fast during what?,0
What are patients carrying certain genetic variant alleles near the IL28B gene more likely to achieve?,0
have the nashville predators won the stanley cup?,1
do nations get to keep the world cup trophy?,1
Who gave followers of Humanism the ability to think out of bounds?,0
is the prayer of serenity in the bible?,1
What two things were needed to successfully hunt an elephant?,0
what is a melon baller used for?,0
How much were students charged per week?,0
"After the 1954 election, who was the Speaker of the House?",0
are prime minister's questions known in advance?,1
What did hunters in Nordic countries display as a sign of prowess in the 19th century?,0
what jobs did hans christian anderson have besides writing ?,0
can you double major in the same field?,1
What other country does Portugal border?,0
can you end an uno game with a wild card?,1
did the movie the quiet man make any money?,1
What are the tourist hotspots in Portugal?,0
Why were swaps registered as debts by Eurostat at the time?,0
what can silk be used for?,0
How many of St. Barthelemy's hotels have fewer than 15 rooms?,0
can you do basic training in high school?,1
can you get married at 16 in canada?,1
when a cell divides?,0
What are all multcellular organisms colonized to some degree by?,0
do we ever learn where fez is from?,1
did eddie the eagle enter the 1992 olympics?,1
what is a bad beat in poker?,0
is the round of 16 single elimination in world cup?,1
is season 8 the end of the vampire diaries?,1
can you go out on a special card in uno?,1
Who were viewed as a threat by the Jadidists?,0
is there a new star trek series on tv?,1
The highest mountain in South America is known as?,0
who is johnny depp 's band?,0
The chemical element with the atomic number 1 is?,0
is tim mcgraw in the movie country strong?,1
does a vein go from ring finger to heart?,1
are short term capital gains taxed as ordinary income?,1
is taylor still on the bold and beautiful?,1
is let me in the same as let the right one in?,1
What is Boudhanath called in Nepali?,0
can a captain of a ship marry you?,1
is the movie no way out based on a true story?,1
can a pitcher hit in the american league?,1
does the constitution specify the number of justices?,1
Jehovah Witnesses believe who will go to heaven?,0
does preston burke ever come back to grey anatomy?,1
What is the number 4 leading cause of life in the world?,0
is the terror based on a real story?,1
What accords possibly contributed to or reinforced the financial crisis?,0
is the great barrier reef a single organism?,1
When are other medical conditions address?,0
What terms have been used to describe policing beyond one country?,0
can you walk across the birmingham bridge in pittsburgh?,1
did the tampa bay lightning ever win the stanley cup?,1
"The author of ""The Hound of the Baskervilles"" is?",0
mississippi was the first state to secede from the union?,1
What could be found just north of the glacerers ,0
What is Durga called in Nepali?,0
is roo from winnie the pooh a boy?,1
When did Armenian writing begin?,0
is there a book of jonah in the bible?,1
can puerto rico vote in the us election?,1
can you ice the puck on a penalty kill?,1
"How much of the states population does the ""Big 7"" have?",0
did abba make the songs for mamma mia?,1
do you put bsc and msc after your name?,1
What type of cabinet meeting did Eisenhower hold for the first time ever?,0
"In the 2008 primary, how much of the Bronx vote did Romney get?",0
do russian and ukrainian use the same alphabet?,1
is puerto rico the 51st state of the united states?,1
do you have to pay royalties for happy birthday?,1
What kind of teams are created by the public to make sure they discuss topics of interest at town meetings?,0
"Along with Chabad of Virginia, what is the other Orthodox synagogue in Richmond?",0
do you have to be married to be a stepdad?,1
is north korea a member if the un?,1
do derek morgan and garcia ever get together?,1
was there a president in the articles of confederation?,1
can i use cast iron skillet on induction cooktop?,1
has anyone ever attacked on the last day of the tour de france?,1
During what period was the Paleozoic era?,0
What extinction event ended the Cenozoic Era?,0
was moon river written for breakfast at tiffany's?,1
What religion did the Sankhu monastery belong to?,0
is jayam ravi son acted in tik tik tik?,1
rudimental waiting all night video is it real?,1
What is the current name of the capital city that was under construction in the Philippines in 1939?,0
is a person with a phd a doctor?,1
When did parts of Armenia under Iranian control become part of Russia?,0
"How many Bronx residents called themselves ""Sub-Saharan African"" in 2009?",0
is he blind in the movie book of eli?,1
What is thought to have helped Greece's potential output?,0
can you get a first class degree without honours?,1
is a solstice and an equinox the same thing?,1
What is a major illegal source of income in Turkey?,0
Who contradicted the supisions of other theorists?,0
was nerve gas used in world war 1?,1
What subdivision of linguistics studies human communication?,0
how do they harvest caviar ?,0
curium-242 was synthesized by bombarding an isotope with alpha particles?,1
what is the lombardi trophy made of ?,0
"Who was the former director of the CFTC that testified before the Senate Committee on Commerce, Science, and Transportation on June 3, 2008?",0
is germany in the fifa world cup 2018?,1
can you play regular xbox games on an xbox 360?,1
What is there a distinction between lawful hunting and?,0
does dying light the following enhanced edition come with the original?,1
what countries belong with the united nations?,0
What meats are often used in Portuguese recipes?,0
Who went to war against Bolshevick armies?,0
is basil leaves the same as mint leaves?,1
is puerto rico is part of the united states?,1
is seattle washington the same as washington dc?,1
has fathers day always been on a sunday?,1
are the dancers on dance academy real dancers?,1
has a third party ever won an election?,1
is meet the parents the same as meet the fockers?,1
what day is the feast of st joseph 's ?,0
Who was expelled from the country after the assassination attempt on Joseph I?,0
who wrote life liberty and the pur?,0
is it rare to see a blue jay?,1
do you have to stop for a right turn on red?,1
do you have to be a grad student to be a ta?,1
What is east of Balochistan?,0
What suggests that Kathmandu is as old as it is?,0
is there such a thing as alcohol dementia?,1
When did Tribhuvan die?,0
does a suspended sentence count as a custodial sentence?,1
What was the ultimate goal of the ethnic cleansing perpetuated by the ECHR?,0
What was the invasion of mainland Italy called?,0
is dubai mall the largest in the world?,1
does the hard rock stadium have a roof?,1
is there a difference between a book and a novel?,1
is the infiniti fx35 the same as the nissan murano?,1
What is the population of Lahore?,0
what is the biggest standard size for longboards ?,0
Why is it often not worth bothering to identify an infectious agent?,0
The highest mountain in Australia is known as?,0
did the bee gees sing my old mans a dustman?,1
The largest rainforest in the world is located where?,0
is hair bleach the same as regular bleach?,1
"After the 2010 elections, what were Tom DeLay and Dennis Hastert considered?",0
can 16 year olds drink alcohol in australia?,1
What type of power plant is Darbytown?,0
Why did the regals recruit low-ranking local tribes when hunting?,0
What have courts in both the UK and the US found the Watch Tower Society to have been for failing to protect children from sexual predators within the congregation?,0
can you retire from being a supreme court justice?,1
is a mid ocean ridge a divergent boundary?,1
what was formed from Euramerica breaking up?,0
"Which person portrayed Knute Rockne in the 1940 movie ""Knute Rockne?""",0
is there a part of spain in africa?,1
"The chemical element with the symbol ""Cl"" is known as?",0
is an alsation the same as a german shepherd?,1
do you have to pay for the dartford bridge?,1
what it takes aerosmith album?,0
is the honda pilot a full size suv?,1
What religion claims their top official is infallible?,0
is m butterfly the same as madame butterfly?,1
"What is the special agent of ""strep throat""?",0
How many adherents worldwide does the group claim?,0
Around how many years ago is the current ice age pattern believed to have begun?,0
is dragon quest x coming to the us?,1
is the movie whale rider based on a true story?,1
are carbon zinc batteries the same as alkaline?,1
is fruit by the foot really a foot?,1
How many phases are there total?,0
Which sociologist said that the Witnesses are on the whole a democratic organization?,0
is there a train station at burnham on sea?,1
is the movie mudbound based on a book?,1
who is the girl in the lazy eye video?,0
is graduate certificate equivalent to a bachelor's degree?,1
How many private calendar objector members does minority leader appoint?,0
is lewis wilbur's dad in meet the robinsons?,1
how old is sybil vane in the picture of dorian gray?,0
Where was Central High school located?,0
is hydrogen chloride a gas at room temperature?,1
is there a end credit scene in infity war?,1
In what year could Richmond first be said to have recovered from the destruction of the American Revolution?,0
will netflix have a season 2 of the punisher?,1
can you vote for both parties in an open primary?,1
is st thomas a territory of the united states?,1
Why did Armenia make Christianity its official religion?,0
What do practical antropologists recreate?,0
Tags are purchased in addition to what?,0
What body replaced the War Plans Division?,0
How many demons will Satan be leading?,0
in uno can you win on a wild card?,1
How were the different factions distinguished from eachother?,0
is the legal drinking age the same in every state?,1
can you step over the free throw line?,1
can you be offside from a direct free kick?,1
is cedar cove coming back for season 4?,1
What name is given to the part of Richmond located to the south of the James?,0
is there such a thing as wild atlantic salmon?,1
what chili wants wiki?,0
Where did synods prohibit all hunting at?,0
What does REN do?,0
how many communities in camden city nj?,0
is shark tank a copy of dragons den?,1
is this the last season of the new girl?,1
what is a PCI port used for?,0
is mass eye and ear part of mgh?,1
can we turn right on red light in canada?,1
What system was created by Alexander Hamilton?,0
is there such thing as international men's day?,1
What brought the global financial system to the brink of collapse?,0
is edf really a dynamic priority scheduling algorithm?,1
is ben nevis the highest mountain in britain?,1
how does an earthworm eat & digests food .?,0
does penny die in out of my mind?,1
what is lockton affinity?,0
does the army train hand to hand combat?,1
has any nba team ever come back from 3-0 in playoffs?,1
is the hundred foot journey based on a book?,1
The largest desert in South America is?,0
has the mvp ever gone to the losing team?,1
When was Glasgow's police force established?,0
What is Anthrozoology also known as?,0
How is the the decree of the Council of Trent is worded?,0
Where is the alluvial plain located?,0
What is the function of an epithelial free surface that is smooth ?,0
do all cells in a multicellular organism have the same function?,1
What has developed a number of unrelated concepts and terms?,0
When did Gardezi die?,0
did republic of ireland qualify for world cup?,1
is the white house press secretary part of the cabinet?,1
WHAT SINGER MARRIED HIS COUSIN?,0
Who was the main character of 'Bonfire of the Vanities'?,0
What powers of a new UK police officer are the same as a Commissioner's?,0
are lays crisps the same company as walkers?,1
is new zealand a part of the continent of australia?,1
When were the first results of the energy explorations expected?,0
What is the largest city in India?,0
does a po box need a zip code?,1
is anytime fitness the same as 24 hour fitness?,1
is the us open always at the same course?,1
What early adopter and developer is no longer associated with Confucianism?,0
is it normal to hear music in your head?,1
does seth macfarlane voice all family guy characters?,1
Who initially served as High Commissioner of North Africa?,0
can you cut cast iron with oxy acetylene?,1
how do you make an older version of windows movie maker compatible with the new live version?,0
Besides boats how does St. Barts import most of its food?,0
are the canary islands part of the iberian peninsula?,1
The first person to circumnavigate the Earth was?,0
How many miles of rivers are known for high class trout?,0
is the art institute of atlanta a college?,1
is there a sequal to the 5th wave?,1
is there going to be a season 3 of free iwatobi swim club?,1
The currency used in China is called?,0
What animal could usually be found with the markhor?,0
"By 2009, by how much had the rate of HIV infection decreased?",0
did season 4 of jane the virgin end?,1
was stand by me based on a true story?,1
can u turn right on red in georgia?,1
Who were the first inhabitants of Portugal?,0
is the marginal cost curve the supply curve?,1
What was included in religious humanism that was similiar to other religion?,0
What type of Republican did Eisenhower characterize himself as?,0
How far is Saint-Barthelemy from France?,0
when a seahorses mate die do they die?,0
is there a walking dead season 3 game?,1
who shot franz ferdinand?,0
is red velvet cake the same as chocolate?,1
What was the Bronx's population in 1900?,0
What type of anthropology studies relationships among persons and their history?,0
Who was the 'father of Armenian history'?,0
is there a second silence of the lambs?,1
In what year did Joseph I make his minister the Count of Oeiras?,0
"what is there to view in shippensburg , pennsylvania?",0
oceans are a global sink for carbon dioxide?,1
What caused a large migration of Greek refuges in the 1450s?,0
is statue of liberty in new york city?,1
What movement was revived by the rich?,0
is jealousy one of the seven deadly sins?,1
What did UN Security Council Resolution 1564 authorize in 2005?,0
the fair credit reporting act (fcra) was a landmark piece of legislation for several reasons?,1
What does feminist anthropology self-reports as seeking to reduce in research findings?,0
When did Ahmad fight at Akora Khattak?,0
is there a real painting called the goldfinch?,1
can you pitch and dh at the same time?,1
does the bat boy travel with the team?,1
is walls ice cream and walls sausages the same company?,1
can you crossbreed a wolf with a dog?,1
has anyone ever pitched back to back no hitters?,1
What is located on the near end of La Pointe?,0
does the queen go on her color in chess?,1
is death note netflix based on the anime?,1
do the browns run a 3 4 defense?,1
"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",0
is the movie baby boom based on a true story?,1
does the us have an embassy in cuba?,1
How many white people live in the Bronx?,0
do t cells express rag-1 and rag-2?,1
Why was the Board of Estimate found unconstitutional?,0
is the vampire diaries related to the originals?,1
What species colonizes the mammalian colon?,0
what staffing policy does lenovo use currently?,0
The national flower of Australia is known as?,0
is the limbic system part of the cerebral cortex?,1
What are some critical disease characteristics that should be evaluated?,0
kansas city missouri kansas city kansas same city?,1
How much does a safari hunter spend compared to an average ecotourist?,0
What is an example of a success implementation of preventing transmission jumps?,0
is st. patrick's day a holy day?,1
does the us navy still issue pea coats?,1
How much of trophy hunters expenditures actually reach the local level?,0
The setting of plaque is called what?,0
How many tourists visit Saint Barthelemy each year?,0
What Protestant group encourages their members to celebrate Easter?,0
What percentage of GDP was the U.S. current account deficit in 2004?,0
What does recognizing the different characteristics of various diseases allow someone to increase?,0
did the soviet union participate in the world cup?,1
what is melissa and joey about?,0
a cutoff meander can become an oxbow lake?,1
is a red stag bigger than an elk?,1
Why was hunting usually done in Nordic countries in the 19th century?,0
do cate and ryan get married in life unexpected?,1
in england the voltage of residential electrical outlets is 230v?,1
did robert langdon die in the lost symbol?,1
In how many directions does the Buddha of Swayambhu look?,0
"According to several scholars, what prevented markets from correctly pricing risk before the crisis?",0
When did Socratics live?,0
what is the function of the hard palate?,0
What is the favorite prey of leatherback sea turtles?,0
did jamaica ever qualify for the world cup?,1
What did Greece's unemployment rate crash to in 2013?,0
The inventor of the computer mouse was?,0
What are quarks made from?,0
The granting of Doctorate degrees first occurred in what year at Notre Dame?,0
is season 13 of grey's anatomy the last?,1
what are stalagmites and stalactites?,0
Which which kingdoms did the taifas establish diplomatic relations?,0
What is the adult literacy rate in Portugal?,0
has there ever been a convention of states?,1
How much money was spent on enhancing Notre Dame Stadium under John Jenkins?,0
does sweden pay students to go to school?,1
In which year did Alfonso III likely die?,0
The currency used in Canada is called?,0
"Long before genocide was established as a legal term, what treaty was in place to protect the military?",0
How old would Eisenhower be in 1956?,0
What is the number of personnel in the army?,0
are pampers and luvs made by the same company?,1
In which region of Portugal did the Muslim population stay?,0
is john smith still alive in pocahontas 2?,1
Immunoassays are able to detect what type of proteins?,0
Which law established Ireland's police?,0
what did i miss on newest storm chasers episode?,0
What did the Council of Chalcedon depend on the church to do?,0
What is the whip organization kept constantly informed about?,0
is the gut the same as the small intestine?,1
"While recognizing genocide, what did Nazi Germany fail to do in its resolution?",0
Where does the herpes virus hide?,0
what is compatible with directx 9.0b?,0
What does the acronym PCR abbreviate to?,0
is oil based paint the same as acrylic?,1
was the first woman to sit as an mp in the uk house of commons an immigrant from the united states?,1
apsara and nataraj are owned by same company?,1
did sissy spacek sing in coal miner's daughter?,1
is english and spanish sign language the same?,1
What dynasty was Ashot I part of?,0
how many world series did curt schilling have?,0
"Along with Lucius Clay, who advised Eisenhower on cabinet appointments?",0
is ori and the blind forest on xbox 360?,1
What is resistance to infection known technically as?,0
Who started the Bow Street detectives?,0
who is ezekiel in the bible?,0
What percentage of Greece's GDP does shipping account for?,0
what cheese is made from goat 's milk?,0
What did Barry Goldwater call Eisenhower?,0
is grey's anatomy season 14 the last season?,1
What are police never separate from?,0
is the tense of a verb an infinitive?,1
What has the NRA always maintained that being in the field with your firearm is?,0
Who has the power to appoint and dismiss the Prime Minister?,0
does lego jurassic world have all 4 movies?,1
Since when have Portuguese wines garnished international recognition?,0
Where was 'From This Day Forward' set?,0
Which distinguished academic of genocide highlighted several other countries opposed to including examination in the Convention?,0
are the fallopian tubes connected to the uterus?,1
did the washington capitals win the stanley cup?,1
can you have more than one wife in the usa?,1
did a horse die on the grand national?,1
can there be a beach on a lake?,1
can i send a letter in the mail without a return address?,1
Study show you should replace polyunsaturated fat with what?,0
do i have to show a cop my id in florida?,1
are there still bounty hunters in the us?,1
can i use my nexus card in a non nexus lane?,1
is tartaric acid the same as citric acid?,1
What has the been a massive increase in the number of households with in Greece?,0
The primary gas used in natural gas is?,0
has a speaker of the house became president?,1
does drinking beetroot juice make your urine red?,1
How is informal discipline meted out by Jehovah's Witnesses?,0
Where does Pysychological anthropology defocus on human development and enculteration?,0
is a jack russell considered a small breed?,1
is the north star part of ursa major?,1
What type of religion is Kirant Mundhum?,0
does disney own star wars the clone wars?,1
"How many purges resulted in the expulsion of nearly 100,000 people?",0
Who trained at the military grounds in Montana?,0
What were the Old West's local police options?,0
is diego de la hoya related to oscar dela hoya?,1
has there ever been a female black panther?,1
was dr. jekyll and mr. hyde the same person?,1
do universal life policies have a cash value?,1
How much cargo theft did the Thames River Police allow in its first year?,0
How many Federal Reserve Banks exist?,0
can you drink alcohol in public in denmark?,1
does jackson find out scott is a werewolf?,1
do you have to get corsages at homecoming?,1
What is prevented by interplay between pathogens and attacks of hosts?,0
can a bullet shot in the air come down and kill?,1
"On October 16, 2008, how long did UBS predict the United States' recession would last?",0
the four chemical bases that make up dna are adenine thymine guanine and cystosine?,1
How many signatures are required on a discharge pertition?,0
When did Eisenhower begin to cut the defense budget?,0
Where can a temple of the Jain faith be found?,0
did sophia die in the walking dead comic?,1
Who was Khachkar invaded by in the 11th century?,0
can a real image be obtained on a screen?,1
do american league teams play against national league teams?,1
is arterial pressure the same as blood pressure?,1
what is an aircraft interception?,0
is the basque language related to any other?,1
The largest lake in Africa is?,0
why is my country tis of thee the same as god save the queen?,1
Feminist economists Ailsa McKay and Margunn Bjornhold believe that the financial crisis and response reveal a crisis of ideas in this?,0
"From 1966, what did Witness publications and conventions think would happen in late 1975?",0
is the nasopharynx part of the respiratory system?,1
does france have a president and prime minister?,1
is a pangolin the same as an armadillo?,1
From what city does Arkefly offer nonstop flights to Kathmandu?,0
what is the minimalist trend?,0
how many teams start nhl playoffs?,0
is rainbow six siege a two player game?,1
Where did the West Indies merchants in London create a police force?,0
was george lopez in shark boy and lava girl?,1
is the movie atm based on a true story?,1
what is a millwright worker?,0
is drakes dad on the cover of more life?,1
How many people live in the Austrian monastery near Jerusalem?,0
how many us planes were hijacked to cuba ?,0
is po box the same as zip code?,1
can you drink in a car in germany?,1
is reseda in the city of los angeles?,1
is pawn stars filmed in the actual store?,1
is season 7 the last season of dance moms?,1
what date did the american civil war start?,0
the office does michael end up with holly?,1
the helmand province of afghanistan is famous for cultivation?,1
has north korea been in the world cup?,1
does the mississippi flow into the gulf of mexico?,1
is a catalytic converter part of the engine?,1
Who is credited with clarifying and making the term humanitas forbidden?,0
what is 1/10 net 30?,0
does rainbow six siege have a story mode?,1
can you make an electromagnet with ac current?,1
is puerto rico part of the continental usa?,1
is tropic thunder based on a true story?,1
How much did Punjab's economy grow in 2008-09?,0
does dexter get caught in season 1 episode 6?,1
is the gulf of mexico part of an ocean?,1
In medieval Europe who obtained sole rights to hunt in certain areas?,0
has an nba player ever had a quadruple double?,1
will there be a 3rd season of 3 percent?,1
what organisms can not grow on a glucose salt medium?,0
is blue lagoon based on a true story?,1
Who built Punjab's irrigation system?,0
is there a lift at finsbury park station?,1
did lord of the rings come before the hobbit?,1
can the speaker of the house of commons vote?,1
are all fossil fuels made up of carbon and hydrogen only?,1
do texas death row inmates get a last meal?,1
"For the first quarter of 2009, what was the annualized rate of decline in GDP in Germany?",0
a morpheme is the smallest unit of meaning found in a word. true false?,1
can i carry a gun in my car in south dakota?,1
is an honorary doctorate the same as a doctorate?,1
is there another mission impossible after rogue nation?,1
What are common less-lethal weapons?,0
What percentage of the EU bulk carriers are not Greece's?,0
does a rook piercing go through the back of your ear?,1
the currency of all eu countries is the euro?,1
What are some critical disease characteristics that should not be evaluated?,0
During which period were epicontinental seas created?,0
What looks for the connections between plans and outcomes?,0
The instrument used to measure distance is called?,0
What provoked the first request from Portugal for financial support?,0
is pepsi max the same as pepsi zero?,1
What cultures influenced Nepal in the later Malla era?,0
"In the Eocene, in Europe, which sea ceased to be?",0
The NW often errs on the side of what type of translation?,0
is chicago the movie based on a true story?,1
are humans the only animals that create art?,1
"Whose living conditions, education, and industry outpaced the other Soviet Republics?",0
is dollar tree and family dollar the same company?,1
when was coca cola invented?,0
What reputation do cornelian cherries have?,0
do you need to say check in chess?,1
is the entire coast of panama is in the pacific ocean?,1
Who wrote the 2007 book The Black Swan?,0
is there an airport in las cruces new mexico?,1
When was the Indian Appropriations Act passed?,0
did build a bear go out of business?,1
What religious institutions were not closed?,0
is there a tube station at wembley stadium?,1
will there be a sequel to wrath of the titans?,1
Which college did Notre Dame add in 1921?,0
is a medical practitioner the same as a gp?,1
What rule against proprietary trading was not part of legislation passed by either the Senate or House?,0
Why did New York State allow unmarked cars for traffic cops?,0
Who wrote about police development-aid in 2007?,0
is canada part of the visa waiver program?,1
is the greatest royal rumble ever on wwe network?,1
What do hunters pay to obtain hunting license?,0
Who ruled most of the eastern part of Peshawar?,0
can you have more than one intermediate switch?,1
does the united states still have an embargo on cuba?,1
Kinetic energy cannot add what kind of mass to a system?,0
When was a U-2 downed over the Soviet Union?,0
was the movie hook based on a book?,1
In what part of Kathmandu is the Institute of Medicine found?,0
What law regulates the elimination of vermin?,0
Who commanded the Union armies during the Seven Days Battles?,0
what made the civil war different from others?,0
is love never dies still showing in london?,1
is there a book 14 in the series of unfortunate events?,1
What does diagnosis of an infectious sometimes involve identifying? ,0
How many Christians go to heaven according to Catholics?,0
is atlantic beach nc part of the outer banks?,1
is cottage cheese the same as cheese curds?,1
